date,ticker,name,type,entry_type,entry,target1,target2,stop,note,発火日,状態,現値,損益%,経過日数,最高値%
2026-08-17,7089.T,フォースタートアップス,短期,即,1600.0,1710,1880,1470.0,8/17短期筆頭,2026-08-17,撤退,1425.0,-8.1,6,5.1
2026-08-17,4441.T,トビラシステムズ,短期,即,1461.0,1560,1700,1400.0,8/17逆張り,2026-08-17,目標①達成(継続中),1521.0,4.1,26,9.7
2026-08-17,MPC,Marathon Petroleum,短期,即,358.0,380,400,338.0,8/17製油,2026-08-17,目標②達成,390.95,11.7,16,20.4
2026-08-17,PANW,Palo Alto Networks,短期,即,375.0,400,420,340.0,8/17サイバー,2026-08-17,撤退,389.92,-9.3,6,5.7
2026-08-17,CRWD,CrowdStrike,短期,即,215.0,240,260,200.0,8/17サイバー,2026-08-17,撤退,259.67,-7.0,2,22.7
2026-08-31,MRK,Merck,短期,即,148.4,160,170,140.0,8/31PEAD,2026-08-31,進行中,147.98,-0.3,16,3.0
2026-08-31,4389.T,プロパティデータバンク,短期,ブレイク,1110.0,1200,1300,1030.0,8/31条件付き,2026-09-07,撤退,1046.0,-7.2,5,2.2
2026-09-08,GSHD,Goosehead Insurance,短期,ブレイク,70.0,78,85,63.0,9/8条件付き,,待機,43.65,-37.6,,
2026-09-08,BLFS,BioLife Solutions,短期,ブレイク,38.0,42,46,33.0,9/8条件付き,2026-09-23,進行中,38.58,1.5,1,2.3
2026-09-08,URBN,Urban Outfitters,短期,即,80.6,88,95,76.0,9/8PEAD,2026-09-08,撤退,74.78,-5.7,2,-1.2
2026-09-14,4441.T,トビラシステムズ,短期,ブレイク,1560.0,1700,1850,1470.0,9/14条件付き,2026-09-14,撤退,1521.0,-5.8,2,2.4
2026-09-14,5242.T,アイズ,短期,即,2360.0,2600,2850,2180.0,9/14二重シグナル,2026-09-14,目標①達成(継続中),2325.0,-1.5,6,11.2
2026-09-14,3994.T,マネーフォワード,短期,ブレイク,6200.0,6800,7400,5600.0,9/14条件付き,2026-09-14,撤退,5763.0,-9.7,6,3.5
2026-09-14,2767.T,円谷フィールズHD,短期,ブレイク,2600.0,2850,3100,2380.0,9/14条件付き,2026-09-14,進行中,2615.0,0.6,6,3.0
2026-09-14,PLMR,Palomar Holdings,短期,ブレイク,137.0,150,165,127.0,8/31から継続,2026-09-14,撤退,125.63,-7.3,6,4.1
2026-09-24,4478.T,フリー,短期,ブレイク,4050.0,4400,4800,3650.0,9/24条件付き,,待機,3670.0,-9.4,,
2026-09-24,PLTR,Palantir,短期,ブレイク,185.0,200,215,168.0,9/24条件付き,2026-09-24,進行中,192.59,4.1,0,
2026-08-13,4493.T,サイバーセキュリティクラウド,長期,即,1929.0,3400,10000,,8/13テンバガー候補,2026-08-13,進行中,1961.0,1.7,28,7.3
2026-08-13,4389.T,プロパティデータバンク,長期,即,1105.0,1900,3100,,8/13テンバガー候補,2026-08-13,進行中,1046.0,-5.3,28,2.6
2026-08-13,4441.T,トビラシステムズ,長期,即,1520.0,2100,3500,,8/13テンバガー候補,2026-08-13,進行中,1521.0,0.1,28,5.4
2026-08-18,4113.T,田岡化学工業,長期,即,727.0,900,1000,,8/18割安カタリスト,2026-08-18,進行中,816.0,12.2,25,18.0
2026-08-25,PLMR,Palomar Holdings,長期,即,131.0,240,300,,8/25米テンバガー候補,2026-08-25,進行中,125.63,-4.1,20,8.8
2026-08-25,HRMY,Harmony Biosciences,長期,即,38.0,75,120,,8/25米テンバガー候補,2026-08-25,進行中,41.16,8.3,20,14.4
2026-08-25,BLFS,BioLife Solutions,長期,即,35.5,55,75,,8/25米テンバガー候補,2026-08-25,進行中,38.58,8.7,20,9.5
2026-09-08,GSHD,Goosehead Insurance,長期,即,67.08,120,180,,9/8米テンバガー候補,2026-09-08,進行中,43.65,-34.9,11,-7.8
2026-09-14,4417.T,グローバルセキュリティエキスパート,長期,即,4340.0,6000,8000,,9/14新規,2026-09-14,進行中,5400.0,24.4,6,36.6
2026-09-14,CORT,Corcept Therapeutics,長期,即,112.79,150,200,,9/14新規観察,2026-09-14,進行中,118.51,5.1,7,5.6
2026-09-24,4377.T,ワンキャリア,長期,即,2376.0,3500,5000,,9/24仕込み圏,2026-09-24,進行中,2360.0,-0.7,1,1.1
